,原文,主题分布向量
4742,赶紧开除吧 人渣,0.048 0.048 0.048 0.048 0.048 0.048 0.714
4743,这老师是校长家亲戚吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4744,青岛你可真够丢人的,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4745,你也可以以过来人和她讲讲男人酒后,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4746,长沙长郡中学一数学老师也是同样的行为被判刑了教师资格证也撤销了,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4747,才10天 犯罪成本太低了 垃圾,0.786 0.036 0.036 0.036 0.036 0.036 0.036
4748,没热度豆腐脑甜的咸的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4749,安排男老师查女生寝是什么隐私,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4750,这个校长怕不是和老师穿一条裤子的,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4751,作为老师最基本的语言还组织的乱七八糟……,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4752,割了吧还是割了吧,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4753,咋的啊 就这老师会啊 别人还替代不了这个人渣了,0.036 0.036 0.036 0.786 0.036 0.036 0.036
4754,笑yue了现在的老师们都是什么成分就这还不开除?连自己下半身都管不好还想管一个班级呢只怕是这哥们儿上课讲的东西都不堪入耳吧,0.143 0.144 0.139 0.141 0.144 0.147 0.142
4755,不开除留着猥亵你家人吗 校长,0.048 0.048 0.048 0.048 0.048 0.714 0.048
4756,💩吃多了吗,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4757,谁在保护它一并开除吧,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4758,是我真得上门砍死老师全价,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4759,请问老师要高考吗还耽误高考会教书的老师他一个人吗还是怎么滴是他教的都能考清华北大吗还是咋滴,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4760,不得不说山东在这种事情上真的很魔幻,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4761,我为什么男人一喝酒就喜欢发情,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4762,啊行政拘留然后呢,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4763,是不是应该及时联系安抚好受害者她没有做错任何事不应该成为学校的敌人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4764,被害人的高考怎么办被害人的前途怎么办被害人的家人怎么办不怕被害人自杀被害人不更无辜,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4765,什么东西呀还要家长跟女孩说作为过来人酒后男人什么样果然书是读到了他菊花般的嘴里去了……这玩意还教高考生哈哈哈哈哈哈,0.064 0.064 0.064 0.064 0.617 0.064 0.064
4766,老师已经原谅学生了为了不耽误学生高考只好不开除啦,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4767,哈哈哈哈哈出生说人话//@来钱易_:父亲式的人物用父母和家人担保讲讲男人酒后的一些行为,0.036 0.036 0.036 0.036 0.036 0.786 0.036
4768,留着才会耽误学生高考因为学生明白了这帮子教书育人的人干了坏事一样可以逍遥法外价值观严重受影响,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4769,考虑谁的抗压能力考虑谁会自杀,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4770,真不知学校的教育素质有多糟糕,0.143 0.144 0.142 0.142 0.143 0.144 0.143
4771,学生高考是自己考耽误不了天天看着这种猥琐班主任才会影响高考,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4772,为了考试人已经变得不像人了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4773,敢这么嚣张肆无忌惮肯定有后台必须一查到底绝不姑息德不配位的东西才会影响孩子们高考,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4774,真是冠冕堂皇的理由,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4775,老子喝到爬不起来也没这样过咋喝的不是一个酒,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4776,留着他给学生讲述犯罪过程吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4777,不开除建议校长把他女儿提供给别的老师去xx,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4778,真荒谬啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4779,@给我盛两碗米饭,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4780,这种处理方式校长也该一并开除不然会烂一窝,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4781,非得把小孩逼死是吧,0.143 0.143 0.141 0.142 0.144 0.143 0.143
4782,看来校长很喜欢这个流氓老师啊,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4783,ip正确,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4784,让我看一看这是啥学校,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4785,把校长一块开了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4786,人渣,0.071 0.071 0.071 0.071 0.071 0.071 0.571
4787,现在的在职老师真的是一言难尽有多少是为教育的都是认钱认势力,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4788,啊他都有前科了这种人还留着那班里的女生到高考之前岂不是每天都要提心吊胆了吗这还能好好高考吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4789,起码先停职吧,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4790,不是舍管阿姨在可能就找造成毁女孩一生的事情来校长老师一并开除,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4791,这个不抓,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4792,这和耽误高考有什么狗屁关系校方的意思是被猥亵的学生看到这所谓的老师不会害怕不会得心理疾病别的学生知道了敢和这位老师接触到底耽误谁高考耽误你校方也去猥亵了是吗啊,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4793,微信聊天记录真是大开眼界,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4794,滑天下之大稽,0.071 0.071 0.071 0.071 0.571 0.071 0.071
4795,怕老师自杀那人家女孩呢不担心女孩受影响吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4796,让这个人渣去骚扰猥亵校方所有领导的母亲妻子丈夫女儿孙女外孙女都骚扰猥亵完了再说需不需要处理怕不怕耽误高考这种鬼话,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4797,男老师是不允许进女生宿舍的学校管理问题女生宿舍有女老师查寝,0.143 0.143 0.142 0.142 0.144 0.144 0.143
4798,跟家长说你也可以作为过来人讲讲男人酒后的一些行为,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4799,啊不是吧我上高中那会有个男生其实也是别人起哄吧就是下课走廊一堆男生打闹然后怂恿一个男的去袭胸都没到这个新闻说的拘留的水平然后我们学校就直接开除他了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4800,???是班主任参加高考吗为什么不能开除,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4801,其他家长放心让这种老师继续教自己的女儿吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4802,p lj,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4803,他犯了罪了还要担心他怎么样受害人呢,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4804,啥学校啊男老师去女宿舍查寝十几年前读高中都是女老师查女寝男老师查男寝,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4805,怕坏人自杀校方好有同理心呦那怕不怕受害学生自杀她老婆也好无辜出了这样的事官方还要和老公一起骗自己,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4806,那三个理由我笑了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4807,他昏头了嘛,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4808,留着就不怕影响学生给孩子留下阴影吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4809,原来高考还能给违法犯罪行为做挡箭牌啊 只看高考不谈人权 特色特色,0.036 0.036 0.036 0.036 0.036 0.786 0.036
4810,把校长一起开除,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4811,承受不住自杀当老师承受不住当什么老师做这种事情就要承担后果啊有什么承受不住的那个女生怎么办呢她承受不住怎么办呢,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4812,这学校也不是啥好地方,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4813,今天热搜有个假拍老婆婆吃方便面的都被拘留了这个还留着,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4814,这是什么阴间新闻,0.071 0.071 0.571 0.071 0.071 0.071 0.071
4815,这就是低分录取的男宝[吃馕],0.048 0.048 0.048 0.048 0.048 0.048 0.714
4816,人喝了酒都会醉那是酒的问题但如果不是所有人喝了酒都会变得猥琐下流那就不是酒的问题,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4817,校长书记一丘之貉,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4818,直接开除,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4819,离高考要是只有一个月我还能理解这不还有半年吗…,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4820,不开除,0.071 0.571 0.071 0.071 0.071 0.071 0.071
4821,学校不保护学生,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4822,真是方方面面上上下下的人都顾虑到了就是没有考虑受害女生的心情和权利真是贴心呀,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4823,这是什么离谱的理由…受害学生要是那些领导的女儿他们还能从狗嘴里蹦出这些话,0.048 0.048 0.048 0.048 0.048 0.048 0.714
4824,继续去上学带把刀顺便刀个人呗未成年人帮老师一把让他回家休息,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4825,和家长说话还一副高高在上的姿态,0.143 0.143 0.142 0.142 0.144 0.144 0.143
4826,哪个学校的,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4827,想趁高考之前多欺负几个,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4828,高三的老师还是班主任本应该是和同学们拼搏奋斗为未来的重要岗位这会给女孩子造成多大的心理伤害唉,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4829,怕耽误高考就不开除那他年年带高三岂不是就有不死金身,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4830,不愧是青岛 轻易就做到了别的城市做不到事情,0.048 0.048 0.048 0.048 0.714 0.048 0.048
4831,怕他承受不了压力自杀那就不怕女孩承受不了压力吗他能做出这种事他还在乎外界对他的评论,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4832,@人民日报 @人民日报 @人民日报 @央视新闻 @央视新闻,0.024 0.024 0.024 0.024 0.024 0.024 0.857
4833,女孩子一辈子的阴影,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4834,1,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4835,真是没一个好东西官官相护,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4836,……,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4837,🤮🤮,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4838,有没有想过被猥亵的女生受到压力也会自杀不应该更考虑受害者吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4839,发什么癫居然不开除😅 再看一下隔壁拍泡面视频被行拘了哪个更恶劣,0.064 0.064 0.064 0.064 0.064 0.616 0.064
4840,这学校三观炸裂,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4841,好好好父权社会嘛害,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4842,酒后猥亵不影响人家女孩子高考了什么逻辑 老师这么多 缺他一个真是男男相护,0.036 0.786 0.036 0.036 0.036 0.036 0.036
4843,又是山東不奇怪了幾次新聞了男的家暴輕判女的反抗家暴卻被判了15年還是50多歲了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4844,不开除是蛇鼠一窝的吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4845,qnmd,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4846,爱丁堡你别太爱,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4847,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
4848,可能全校都知道这个老师了妻子在同校担任生物老师都热搜了还能猜不到是谁校长搞笑的嗦校长和这个老师相当于社死,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4849,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4850,开除 注销任教资格,0.048 0.048 0.048 0.714 0.048 0.048 0.048
4851,先把校长抓了包庇罪,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4852,活久见,0.071 0.071 0.071 0.571 0.071 0.071 0.071
4853,自己说的没错啊男人都是坏人这下拘留10天妻子也应该知道了吧教师一旦社死更可怕,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4854,怎么不刑拘呢拍个让婆婆吃泡面的视频就行据猥亵女生不刑拘什么道理,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4855,感谢学校设身处地的为犯罪分子着想,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4856,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4857,不开除 所以都考公 加油考公,0.036 0.786 0.036 0.036 0.036 0.036 0.036
4858,这老师肯定不是干过一次了人渣,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4859,不开除更加影响学生心理吧犯罪了不用付出代价吗,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4860,我的天第一次知道猥亵竟然只拘留十天我书读的少可别蒙我给受害人留下的可能是一辈子的阴影加害者竟然只需要拘留十天学校还帮着加害者隐瞒这个世界怎么了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4861,担心这种禽兽老师的抗压能力他做了坏事还担心他被伤害的女孩子你担心了吗她以后的人生还那么长你不担心她这辈子有心理阴影吗该担心的不担心,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4862,我可去tm的吧你听听这叫人话,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4863,郑某某猥亵学生是犯罪学校还顾及他干啥还不开除帮瞒报纵容犯罪吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4864,老登,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4865,"法高于情这是什么学校风气这是什么校领导青岛 #青岛,青岛,你好,520#",0.024 0.024 0.024 0.857 0.024 0.024 0.024
4866,我记得我们初高中男老师都是不允许查女寝的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4867,不以为耻反以为荣,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4868,爱丁堡,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4869,父亲似的人物作为过来人讲讲酒后男人的行为舌头跟吊一样臭全部割掉,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4870,该老师家属也是受害的一方这个伤害是该教师造成的对受害者就没有社会形象和抗压能力的顾虑吗就他要脸,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4871,给婆婆吃个泡面都能被拘留 猥亵不得和劳姐一起被执死刑啊,0.048 0.048 0.048 0.714 0.048 0.048 0.048
4872,棍,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4873,记住这间学校的名字家长千万不要报,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4874,🤮,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4875,高考至上,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4876,我吐了🤮//@易五五发出呜呜的声音:作为过来人跟她讲讲男人酒后的一些行为,0.036 0.536 0.036 0.285 0.036 0.036 0.036
4877,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4878,不开除等着误人子弟呢,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4879,已经耽误了你们想想被那啥的那个女生心里肯定一辈子的阴影了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4880,这校长看来没少干过这种事很会以己度人嘛,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4881,刑事案件管你学校屁事,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4882,牛逼真牛逼,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4883,学校还帮着瞒着它妻子天啊它妻子又做错了什么,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4884,这什么破学校,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4885,男人酒后的行为 这一句话可以当作你做出这种事情的借口,0.048 0.048 0.048 0.048 0.714 0.048 0.048
4886,这校长人品也够呛,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4887,为什么男老师可以进去女生宿舍,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4888,校方活稀泥还整个怕他自杀怎么办无语,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4889,降分录取的男老师,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4890,学校居然还想保它去年不是有个规定这种的都要终身禁止从事教育行业的吗学校这是赤裸裸违法啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4891,从里烂到外,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4892,啊对啥都考虑就是不考虑被害人的情况,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4893,青岛市即墨区实验高中明年生高中的学生们关注下,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4894,留着才影响高考吧这什么老东西,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4895,吐了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
4896,这个学校根就是烂的吧凭什么不能告诉他家属你担心老师噶了不担心学生噶了有这样的老师在能有几个学生能安心考试,0.143 0.144 0.141 0.142 0.144 0.144 0.143
4897,#海量个例#,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4898,@百无聊赖_BWLL 🤢,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4899,有这种老师上课才最影响学生高考吧一今天来上课的罪犯好招摇二我是女生不会也有危险吧三我是男生看看他今天走进那个女同学四如果再有女生受害谁能负责如果男生心智不坚定有样学样这不是在培养罪犯吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4900,妈呀第一次见这种理由艹,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4901,这还不开除校长和这个老师有亲戚吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4902,这学校再出的再多理由都只为了保护犯罪的老师学生在这学校就是食物链的底端,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4903,死 让他赶紧死,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4904,这个司马校长还是女的就是这样对待它学校的女学生的,0.143 0.144 0.141 0.142 0.143 0.144 0.143
4905,考虑加害人不考虑受害人阴间学校得好好查查吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4906,哈哈哈 笑死我了 天天看着他更膈应不是考得更不好,0.036 0.036 0.786 0.036 0.036 0.036 0.036
4907,山东正常,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4908,所以学校还是女老师多也是有原因的,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4909,法治社会+网络监督这个学校的决策团队要换班子了,0.048 0.048 0.048 0.048 0.714 0.048 0.048
4910,我们这一老师猥亵三个学生 校长拿钱保释 还按工资百分之七十发生活补贴呢,0.036 0.036 0.036 0.786 0.036 0.036 0.036
4911,那个泡面的还拘留五日了这货还留着干嘛霍霍祖国的花朵吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4912,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4913,没事直接把学校毁了这下不用担心这些利益了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4914,取消寄宿制,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4915,都是些什么妖魔鬼怪混在教育单位误人子弟呀,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4916,请开除这种人留在学校出事是迟早的,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4917,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
4918,这都3202年了还有这种逆天存在,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4919,要求看到后续,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4920,这个班主任要不要看看自己在说什么你也可以作为过来人跟她讲讲男人酒后的一些行为我平常不是这样的人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4921,听听校方这是什么禽兽言论 施暴者及其家人需要保护和理解 其它同学需要被保护 唯独受害女生不需要 一整个迷惑不解的操作,0.024 0.024 0.024 0.857 0.024 0.024 0.024
4922,人渣,0.071 0.071 0.071 0.071 0.071 0.071 0.571
4923,那被酒后行为骚扰的女学生自杀了呢,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4924,保护禽兽就是对受害者最大的伤害和不公平感觉那三条就是把受害者不当人看了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4925,妈耶学校考虑的很全面啊学校的利益混蛋家属的利益混蛋的利益都考虑到了女学生要的公道排最后了你个学校真棒啊,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4926,我只是犯了天底下男人都会犯的错🤣//@易五五发出呜呜的声音:作为过来人跟她讲讲男人酒后的一些行为,0.036 0.786 0.036 0.036 0.036 0.036 0.036
4927,这种学校的回复还好意思教书育人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4928,校长和老师是一伙的 都阉割后开除,0.048 0.714 0.048 0.048 0.048 0.048 0.048
4929,校长是男的不帮班主任难道帮女生,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4930,我是男的支持出台阉割法,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4931,可笑拙劣的借口,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4932,喝点酒就可以让全世界原谅他了那我喝点酒砍死他 是不是也可以说酒精麻痹了我,0.048 0.048 0.048 0.048 0.048 0.048 0.714
4933,CS,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4934,严惩人渣,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4935,校长也能开除了把这种教育败类踢出去人都不会做,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4936,受不住压力自杀怎么办活该呗自己做的事自己承担后果不是应该的嘛,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4937,校长应该也是这种货色好不到哪里去,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4938,枪毙流氓,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4939,怎么不担心女生想不开跳楼呢那你们学校可出名了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4940,#班主任猥亵女生校方称怕耽误高考不开除##闽大评# 毫无师德如何教书育人堪忧务必开除公职支持女孩勇敢发声,0.786 0.036 0.036 0.036 0.036 0.036 0.036
4941,无语,0.071 0.071 0.071 0.571 0.071 0.071 0.071
4942,10天怎么够啊 死刑行吗,0.048 0.048 0.048 0.048 0.048 0.714 0.048
4943,呵呵呵呵呵呵学校的理由一条比一条,0.143 0.144 0.141 0.142 0.144 0.144 0.143
4944,不开除才影响吧学生得担惊受怕时刻得提防着说不定连门都不敢出,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4945,怕影响最好直接开老师女生乳腺通了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4946,谁给学校的勇气,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4947,不开除也行阉了吧这样其他家长才放心,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4948,一丘之貉吗垃圾成堆,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4949,查一下这个班主任和学校大领导是不是有关系这么袒护,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4950,教书育人的地方不懂法不容情是什么意思学校竟然是犯罪分子的保护伞,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4951,山东男刻板印象➕ 1,0.143 0.144 0.142 0.142 0.143 0.143 0.143
4952,我不信这是他第一次对学生有这种行为,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4953,还老师承受不了自杀那不处分万一学生接受不了自杀了呢,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4954,他爹的这些个剪除你不把他开除才是耽误学生们高考呢让学校的女学生们怎么办啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4955,怕他自杀怎么不去呢怎么好意思还赖在学校还想祸害谁,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4956,他叫明辉,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4957,山东那个校长我还记得要给黑人安排3个中国女孩当陪护还得是好看的才行,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4958,担心加害者受不了舆论压力自杀倒反天罡,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4959,酒后根本乱不了性还在这扯建议阉割,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4960,老师啊 那不奇怪了,0.064 0.064 0.064 0.064 0.064 0.615 0.064
4961,拉倒吧男人不都是喝了酒就胡作非为的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4962,啊这不是留下隐患让他继续作案包庇犯罪者,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4963,你也可以作为过来人跟她讲讲男人的一些酒后行为,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4964,这种也不开除他要死死去呗自作自受,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4965,把校长一起开除吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4966,下流,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4967,都钻到女寝去猥亵了 还不开除家长报警呀,0.143 0.146 0.140 0.141 0.144 0.144 0.142
4968,"他承受不了压力去自杀怎么办--- 自己的选择, 有什么怎么办阿? 难道社会上的那么多自杀你们负责了?",0.029 0.029 0.029 0.029 0.029 0.828 0.029
4969,@洛阳山新,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4970,都行政拘留了以为他老婆傻吗做了就有承担后果学校考虑了其他学生考虑了禽兽老师考虑了他的老婆唯独不顾当事孩子的弱小无助,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4971,真不是人干的事 网友们让热度上去 保护别人的女儿也是保护我们自己的孩子自己的亲人 让这样的狗老师滚出校园,0.029 0.029 0.029 0.029 0.029 0.828 0.029
4972,鬼扯什么换个不称职班主任能对高考有什么坏的影响只会有积极的影响赶紧开除好吗该怎么处理怎么处理,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4973,作为过来人讲讲男人酒后的一些行为什么行为神志不清什么不去搂抱校长,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4974,先阉了再去坐牢吧,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4975,怕他自杀只怕他不死,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4976,什么鬼话给我震惊坏了他扛不住压力自杀怎么办那被猥亵的女同学扛不住压力自杀怎么办,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4977,这我没想到不开除他对孩子影响更大,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4978,真是够给山东丢人的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4979,这样的人也配教书误人子弟,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4980,才他妈十天,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4981,终于上热搜了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4982,这样的人就该开除在档案上带一辈子事情发生了又后悔道歉早知道别违法啊还担心她老婆他本人都不考虑那么多会伤害那么多人这个男老师怎么不知道他知道还要犯事 就要收到惩罚,0.143 0.144 0.139 0.141 0.146 0.145 0.143
4983,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4984,山东很正常 有人脉有关系 什么压不下来啊,0.036 0.036 0.786 0.036 0.036 0.036 0.036
4985,遥遥领先,0.143 0.143 0.141 0.142 0.144 0.144 0.143
4986,什么时候酒后揍了校长再说吧,0.143 0.143 0.142 0.142 0.144 0.144 0.143
4987,这说的是人话啊,0.143 0.143 0.142 0.142 0.143 0.144 0.143
4988,你父母和家人的脸都被你丢光了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4989,留案底开除,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4990,缺班主任把数语外教师成班主任不就行了我初三班主任干一半辞职走了直接让英语老师当班主任,0.143 0.144 0.141 0.142 0.143 0.144 0.143
4991,还怕自杀死了不正好活着危害社会有什么活下去的必要,0.143 0.143 0.142 0.142 0.144 0.143 0.143
