微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4.95E+15,4,4.95E+15,2023/9/16 15:31,9,来自湖南,江心钥,1224546365,女,379,243,高铁上为什么总是发生占座纠纷？铁路局真的对此无责任吗？
4.95E+15,4,4.95E+15,2023/9/16 14:23,4,来自陕西,甜甜的兔牙牙牙,1866657107,女,400,399,十分钟 乘警呢？
4.95E+15,4,4.95E+15,2023/9/17 2:32,1,来自安徽,延寿丁丁,6061280153,男,337,2857,三个壮汉对一个弱女子如此呆毒
4.95E+15,4,4.95E+15,2023/9/16 13:43,4,来自山东,百渡蓝天白云间,7283210899,男,212,5,寻衅滋事罪，故意伤害罪入刑
4.95E+15,4,4.95E+15,2023/9/18 9:53,2,来自北京,月下说法,1496864631,女,603,132.8万,管理不善，处置不当，才屡屡次出现霸座还有理的事件。
4.95E+15,4,4.95E+15,2023/9/17 8:45,14,来自江苏,金陵玫子,5237032971,女,612,447,真的是太嚣张了，占别人座位还动手，希望出台相关政策法规，给老百姓的基本安全得以保障！
4.95E+15,4,4.95E+15,2023/9/16 22:53,3,来自广东,西村南巷_,1882808601,男,83,85,这种人赶紧拉黑名单啊，别到处祸害别人，太危险了
4.95E+15,4,4.95E+15,2023/9/16 22:42,2,来自四川,叭咚叭咚,5092402022,女,2333,1808,为什么不能有高铁黑名单！！飞机黑名单！！！
4.95E+15,4,4.95E+15,2023/9/16 21:16,3,来自北京,咸卤螃蟹vs高级人,1692965975,男,316,348,警察别和稀泥就好。别搞什么各打五十大板这类的事。犯错了，不讲理就应该受到惩罚。
4.95E+15,4,4.95E+15,2023/9/16 16:55,2,来自四川,2hlsing,1788576952,女,164,155,我震惊😱不要和解必须给那几个人弄个案底
4.95E+15,4,4.95E+15,2023/9/19 16:52,0,来自北京,佛系老娘们,5915465003,女,278,125,是那一家三口先动的手，还扒人家衣服，这像话吗，这都没人管，就因为老人是国家公职人员，连乘务员，警察都不敢管，就知道欺负老百姓
4.95E+15,4,4.95E+15,2023/9/17 9:37,0,来自江苏,张走灵,2079318697,女,681,151,@中国铁路 你怎么说
4.95E+15,4,4.95E+15,2023/9/17 1:20,0,来自河北,何珊瑶,1633843891,女,20000,16.9万,回复@彤彤不哭Y 的表态:谢谢@彤彤不哭Y 的点赞支持。
4.95E+15,4,4.95E+15,2023/9/16 17:05,3,来自安徽,渊之龙女,2519935117,女,575,2230,乘务员和乘警呢？
4.95E+15,4,4.95E+15,2023/9/16 15:59,0,来自北京,童淇读书,5059877369,女,939,20.6万,这种工作人员才不管//@我还叫波猪的海:这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？
4.95E+15,4,4.95E+15,2023/9/16 15:14,1,来自湖北,介个小茵,2320241564,男,427,383,看着就是一副没文化的恶人样，对这种粗人就不要跟他们硬杠，一开始就召唤乘务员警察介入，让他们自生自灭，总有得到惩治的时候
4.95E+15,4,4.95E+15,2023/9/16 14:38,0,来自北京,体育迷巴霞,1111382753,女,1933,798,抓
4.95E+15,4,4.95E+15,2023/9/16 14:36,0,来自广东,价值为王,2606342974,女,876,1万,欺软怕硬
4.95E+15,5,4.95E+15,2023/9/16 14:32,0,来自宁夏,拂晓哨位,7512010816,男,7363,1.5万,对打人者严处理严励打击
4.95E+15,5,4.95E+15,2023/9/16 14:25,0,来自澳大利亚,孙老师在上学,1460105510,男,5120,347,呵呵
4.95E+15,5,4.95E+15,2023/9/16 14:10,5,来自广东,RainSnow7206,6988516132,女,501,2,为啥坐高铁总能发生奇葩和不可思议事件呢
4.95E+15,5,4.95E+15,2023/9/17 14:15,2,来自广东,小灯草被拔秃啦,1516021224,女,516,512,散粉到别人身上可比拳头到别人身上严重多了呢
4.95E+15,5,4.95E+15,2023/9/16 18:54,2,来自浙江,数沙社,6572839093,男,107,4,为啥高铁上这么多奇葩事！
4.95E+15,5,4.95E+15,2023/9/16 17:01,2,来自浙江,传说中万能的圈大,5790056918,男,336,152,查查这女的退休了吗？退休前两口子在哪里工作，财产等问题有什么不对称的，是不是家里有楼那种
4.95E+15,5,4.95E+15,2023/9/16 16:28,3,来自广西,评论区活人,7466880654,男,213,19,别调解谢谢
4.95E+15,5,4.95E+15,2023/9/16 14:49,3,来自广东,古兒郎瓦,1712414114,男,529,517,就知道始作俑者是女性，她家里人几代都要被连累了
4.95E+15,5,4.95E+15,2023/9/18 18:54,1,来自广东,十月天气爽,2783894703,男,410,654,估计热度一过，又不了了之，建议李女士找人把那3个流氓打一顿，反正也没人管，最多定性为互殴
4.95E+15,5,4.95E+15,2023/9/17 22:51,1,来自宁夏,H阳阳阳阳阳阳H,7135005199,女,442,61,乘务员呢，在找化妆的美女嘛高铁厌女这么严重吗？打了十分钟都没来人是吧
4.95E+15,5,4.95E+15,2023/9/17 10:39,1,来自山西,Kevin刘旭冬,1770977052,男,1459,991,网暴下这对夫妻吧
4.95E+15,5,4.95E+15,2023/9/16 17:14,4,来自浙江,tyrdvh18,6598858684,男,1914,153,上次我坐高铁人家占我位置半小时多我都没敢吭气，只能旁边站着，就怕挨揍，跟乘务员说了也白说
4.95E+15,5,4.95E+15,2023/9/16 16:16,1,来自浙江,爱旅游的Yanzi,1293016343,女,204,472,这些人应该这一生禁止乘坐任何一种交通工具
4.95E+15,5,4.95E+15,2023/9/16 15:51,1,来自浙江,晚风拂面J,2392282384,女,530,397,关起来 
4.95E+15,5,4.95E+15,2023/9/16 15:14,1,来自广东,知行有果,2152506474,男,5041,93,真的搞不懂那些喜欢换坐的人，一趟旅程也就短短的几个小时，非得要坐在一起吗?难道是生离死别？！ 建议以后@中国铁路要出个政策，禁止换座，不过@它也没球用，因为它不会管的。
4.95E+15,5,4.95E+15,2023/9/16 15:11,1,来自浙江,老吕飞刀,1703040405,男,2950,2351,类似的新闻看多了，铁路方面是到了下猛药的时候，帮助“某些人”长长记性，可以关他几天，拉进黑名单……相信只要想治他们，总有办法的吧。要不然，这好好的乘车环境，谁来保障？
4.95E+15,5,4.95E+15,2023/9/16 15:05,2,来自江苏,胡越萧萧,5778727765,女,341,225,乘J：不是化妆就好
4.95E+15,5,4.95E+15,2023/9/16 14:55,1,来自江苏,芥末圈圈jm,2096821081,女,520,17,无法无天……
4.95E+15,5,4.95E+15,2023/9/16 14:43,1,来自河北,憩园啦啦,5520151261,女,707,209,啥人都有，太可怕了
4.95E+15,5,4.95E+15,2023/9/16 14:35,2,来自江苏,暖心mio,5518090944,女,1647,205,高铁上还会发生这种事？！真是长见识了太可怕了我也不是没遇到过买的座位被占这种事，很多次都是鼓起勇气要回来的以后我宁愿站着都不敢要回座位了
4.95E+15,6,4.95E+15,2023/9/16 14:09,1,来自天津,我家的two宝贝,1886377275,女,789,495,这种人真是辣鸡啊怎么有这么多不守规矩规定规则的人呢，还得理直气壮，强词夺理。
4.95E+15,6,4.95E+15,2023/9/16 13:30,2,来自江苏,呼啦啦虎啦,6861898003,女,434,54,这么难舍难分吗？座位非要坐一起？
4.95E+15,6,4.95E+15,2023/9/21 22:14,0,来自河北,jlifei,2732881001,男,56,53,你们发的新闻从来就不进行认证吗？别人发你们蹭热点就上，管他真相如何？？？
4.95E+15,6,4.95E+15,2023/9/21 22:04,0,来自河北,jlifei,2732881001,男,56,53,翻回来看，视频里面的配音和内容描述，到底是不是那个女生说和描述的，还是这个某个营销号自己配的内容？以后是有图有视频都不一定有真相了。
4.95E+15,6,4.95E+15,2023/9/17 20:03,0,来自河南,中原发展姬威锋,6330152278,男,367,885,应该加大处罚力度
4.95E+15,6,4.95E+15,2023/9/17 15:09,0,,FM955大医生来了,6451746664,女,339,6513,建议高铁对“霸座人”设立黑名单，3或5年期不得乘坐
4.95E+15,6,4.95E+15,2023/9/17 14:27,0,来自安徽,龙宝豆豆,2567590911,男,444,151,派出所是怎么处理的？
4.95E+15,6,4.95E+15,2023/9/17 11:57,0,来自广东,大野孤行_天,5553394766,男,1116,352,都什么人哪
4.95E+15,6,4.95E+15,2023/9/17 9:10,0,来自江苏,二狗同学ya,6357247362,男,528,587,恶人还得恶人磨
4.95E+15,6,4.95E+15,2023/9/17 5:44,0,来自新疆,卡斯米路路路路,1086285041,男,208,462,估计会被和解简史。不出台严厉政策这种事只会越来越多。
4.95E+15,6,4.95E+15,2023/9/16 23:03,0,来自四川,三道拐球王,3198633154,男,548,161,高铁遇到不讲理的占座 真的很无奈
4.95E+15,6,4.95E+15,2023/9/16 22:22,0,来自浙江,冬日里的照明灯,1723765197,男,620,1084,财神爷来了
4.95E+15,6,4.95E+15,2023/9/16 20:43,0,来自云南,Jilluu,5635745147,女,1337,11,严惩！！
4.95E+15,6,4.95E+15,2023/9/16 20:35,0,来自江苏,不需要保护,6425904797,女,5080,24,高铁座位坐的那叫一个乱七八糟
4.95E+15,6,4.95E+15,2023/9/16 20:28,0,来自河南,周小毒2012,2597823702,女,998,370,别被执法部门劝的的和解
4.95E+15,6,4.95E+15,2023/9/16 17:57,2,来自北京,lee的way,2287611875,男,175,71,为什么要给打人者打码。。。
4.95E+15,6,4.95E+15,2023/9/16 17:56,0,来自浙江,锐柠,1745711934,女,256,2306,人家忙着管化妆呢
4.95E+15,6,4.95E+15,2023/9/16 17:04,0,来自江苏,章鱼小丸子1116,5307701143,男,1876,181,一家子坏蛋牛氓
4.95E+15,6,4.95E+15,2023/9/16 16:30,0,来自天津,唐卡ZYW,3307270495,女,249,49,黑名单黑名单！
4.95E+15,6,4.95E+15,2023/9/16 16:17,0,来自江苏,云商8080,6112829975,男,85,9,10分钟的时间乘警都没来阻止暴力行为吗
4.95E+15,7,4.95E+15,2023/9/16 16:09,1,来自吉林,爱向彤919,6012559892,女,35,89,车上的服务员和乘警都躲哪里去了？
4.95E+15,7,4.95E+15,2023/9/16 16:03,0,来自四川,你不紧张,5250093000,女,447,93,躺下提车
4.95E+15,7,4.95E+15,2023/9/16 15:43,0,来自山东,大学时叫我老六,5360268680,女,214,76,真的是高铁工作人员呢
4.95E+15,7,4.95E+15,2023/9/16 15:31,0,来自江苏,会跳舞de茉莉,6869253286,女,667,69,这种占座还打人的人品真是差
4.95E+15,7,4.95E+15,2023/9/16 15:13,0,来自江苏,Jayhch,5038018767,女,2412,122,转发微博
4.95E+15,7,4.95E+15,2023/9/16 15:07,0,来自江苏,我那炙热的肱二头肌,6804112075,女,590,27,三个情绪不稳定的出生
